Store Name,GRN Number,GRN Date,Supplier Code,Supplier Name,Supplier Invoice Number,Supplier Invoice Date,Actual Delivery Date,Supplier Item Name,Supplier SKU,Category,Sub Category,Supplier Qty,Return Qty,Supplier Unit,Supplier Unit Cost,Discount Amount,Charge Amount,Total Cost,Total Tax,Total ITC,Total Amount,Inventory Item Name,Inventory SKU,Inventory Qty,Inventory Unit,Inventory Unit Cost,PO Number,PO Date,PO Quantity,PO Type,PO Quantity Variance,Label,Additional Cess,GRN Item Notes,PO Item Notes,Contract
Central Warehouse - Bangalore,69087,5/1/2024,GL,Godrej Tyson Foods Limited,4222407442,5/1/2024,,Chicken Breast Boneless,RM13,Raw Material,Food,150,,kg,285,0,0,42750,0,0,42750,Chicken Breast Boneless,RM13,150,kg,285,69067,5/1/2024,150,Standard,0,,,,,
Central Warehouse - Bangalore,69091,5/1/2024,ME,Mahadeswara Enterprises,526/24-25,5/1/2024,,Chicken Breast Boneless,RM13,Raw Material,Food,300,,kg,275,0,0,82500,0,0,82500,Chicken Breast Boneless,RM13,300,kg,275,69068,5/1/2024,300,Standard,0,,,,,
Central Warehouse - Bangalore,69092,5/1/2024,CF,Chooze Fresh,426,5/1/2024,,Fish Boneless,RM28,Raw Material,Food,85,,kg,320,0,0,27200,0,0,27200,Fish Boneless,RM28,85,kg,320,69069,5/1/2024,85,Standard,0,,,,,
Central Warehouse - Bangalore,69093,5/1/2024,RTM,R T Mutton,14483,5/1/2024,,Mutton,RM64,Raw Material,Food,50,,kg,680,0,0,34000,0,0,34000,Mutton,RM64,50,kg,680,69070,5/1/2024,50,Standard,0,,,,,
Central Warehouse - Bangalore,69094,5/1/2024,SF,Siddhi Foods,4583,5/1/2024,,Chicken Breast Boneless,RM13,Raw Material,Food,99.7,,kg,275,0,0,27417.5,0,0,27417.5,Chicken Breast Boneless,RM13,99.7,kg,275,69071,5/1/2024,99.7,Standard,0,,,,,
Central Warehouse - Bangalore,69095,5/1/2024,ASCC,AY Sabir Chicken Center,980,5/1/2024,,Whole Chicken Without Skin,RM93,Raw Material,Food,205.2,,kg,238,0,0,48837.6,0,0,48837.6,Whole Chicken Without Skin,RM93,205.2,kg,238,69073,5/1/2024,205.2,Standard,0,,,,,
Central Warehouse - Bangalore,69096,5/1/2024,BPC,Brite Poultry Center,667,5/1/2024,,Whole Chicken Without Skin,RM93,Raw Material,Food,218.2,,kg,238,0,0,51931.6,0,0,51931.6,Whole Chicken Without Skin,RM93,218.2,kg,238,69075,5/1/2024,218.2,Standard,0,,,,,
Central Warehouse - Bangalore,69113,5/1/2024,BE,Bharathi Enterprises,568,5/1/2024,,Curd,RM23,Raw Material,Food,408,,lt,54.58,0,0,22268.64,1113.44,0,23382.08,Curd,RM23,408,lt,54.58,69097,5/1/2024,408,Standard,0,,,,,
Central Warehouse - Bangalore,69116,5/1/2024,VE,Vani Enterprises,TX-686/24-25,5/1/2024,,Curd,RM23,Raw Material,Food,204,,lt,54.5,0,0,11118,555.9,0,11673.9,Curd,RM23,204,lt,54.5,69098,5/1/2024,204,Standard,0,,,,,
Central Warehouse - Bangalore,69116,5/1/2024,VE,Vani Enterprises,TX-686/24-25,5/1/2024,,Frozen Green Peas,RM30,Raw Material,Food,10,,kg,100,0,0,1000,0,0,1000,Frozen Green Peas,RM30,10,kg,100,69098,5/1/2024,10,Standard,0,,,,,
Central Warehouse - Bangalore,69116,5/1/2024,VE,Vani Enterprises,TX-686/24-25,5/1/2024,,Milky Mist Khova,RM59,Raw Material,Food,10,,kg,295,0,0,2950,147.5,0,3097.5,Milky Mist Khova,RM59,10,kg,295,69098,5/1/2024,10,Standard,0,,,,,
Central Warehouse - Bangalore,69116,5/1/2024,VE,Vani Enterprises,TX-686/24-25,5/1/2024,,Milky Mist Paneer 1Kg,RM60,Raw Material,Food,48,,kg,337,0,0,16176,808.8,0,16984.8,Milky Mist Paneer 1Kg,RM60,48,kg,337,69098,5/1/2024,48,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Carrot,MM10,Raw Material,Food,30,,kg,72,0,0,2160,0,0,2160,Carrot,RM10,30,kg,72,69100,5/1/2024,30,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Cauliflower,RM11,Raw Material,Food,10,,kg,45,0,0,450,0,0,450,Cauliflower,RM11,10,kg,45,69100,5/1/2024,10,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Coconut,RM17,Raw Material,Food,30,,pcs,36,0,0,1080,0,0,1080,Coconut,RM17,30,pcs,36,69100,5/1/2024,30,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Coriender Leaves Bunch,RM19,Raw Material,Food,30,,pcs,35,0,0,1050,0,0,1050,Coriander Leaves Bunch,RM19,30,pcs,35,69100,5/1/2024,30,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Cucumber,RM22,Raw Material,Food,120,,kg,43,0,0,5160,0,0,5160,Cucumber,RM22,120,kg,43,69100,5/1/2024,120,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Curry Leaves Bunch,RM24,Raw Material,Food,5,,kg,90,0,0,450,0,0,450,Curry Leaves Bunch,RM24,5,kg,90,69100,5/1/2024,5,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Ginger,RM33,Raw Material,Food,55,,kg,154,0,0,8470,0,0,8470,Ginger,RM33,55,kg,154,69100,5/1/2024,55,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Green Chilly (250gm pkt),RM35,Raw Material,Food,15,,kg,96,0,0,1440,0,0,1440,Green Chilly (250Gm Pkt),RM35,15,kg,96,69100,5/1/2024,15,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Lemon,RM51,Raw Material,Food,25,,kg,130,0,0,3250,0,0,3250,Lemon,RM51,25,kg,130,69100,5/1/2024,25,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Mint Leaves Bunch,RM61,Raw Material,Food,100,,pcs,13,0,0,1300,0,0,1300,Mint Leaves Bunch,RM61,25,kg,52,69100,5/1/2024,100,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Onion,RM66,Raw Material,Food,260,,kg,27,0,0,7020,0,0,7020,Onion,RM66,260,kg,27,69100,5/1/2024,260,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Peeled Garlic,RM69,Raw Material,Food,35,,kg,295,0,0,10325,0,0,10325,Peeled Garlic,RM69,35,kg,295,69100,5/1/2024,35,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Potato,RM70,Raw Material,Food,30,,kg,43,0,0,1290,0,0,1290,Potato,RM70,30,kg,43,69100,5/1/2024,30,Standard,0,,,,,
Central Warehouse - Bangalore,69117,5/1/2024,FS2B,Farm S2B,INV-0000294,5/1/2024,,Staff Tomato,345,Raw Material,Staff Food,11,,kg,36,0,0,396,0,0,396,Staff Tomato,RM107,11,kg,36,69100,5/1/2024,11,Standard,0,,,,,
